Id,Compagnie/Airline,Code IATA/  IATA code,Code OACI/  ICAO code,Pays/Country,Website,Remarques/Remarks
306.0,AMERICAN FALCON,WK,AFB,Argentine/Argentina,,Fin des opérations : juillet 2005 / Date of end of operations : July 2005
307.0,AMERICAN INTERNATIONAL AIRWAYS,NI,CKS,U.S.A.,,Fin des opérations : 1984 / Date of end of operations : 1984
308.0,AMERIFLIGHT,AM,AMF,USA,www.ameriflight.com,
309.0,AMERIJET INTERNATIONAL,M6,AJT,USA,www.amerijet.com,
310.0,AMERISTAR AIR CARGO,7Z,AJI,USA,www.ameristarjet.com,
311.0,AMERISTAR CHARTERS,7Z,AJI,USA,www.ameristarjet.com,
312.0,ANA & JP EXPRESS,9N,AJV,Japon/Japan,www.ajv.ana-g.com,
314.0,ANDES LINEAS AEREAS,OY,ANS,Argentine/Argentina,www.andesonline.com,
315.0,ANGARA AIRLINES,IK,AGU,Russie/Russia,,
316.0,ANGEL AIRLINES,8G,NGE,Thailande/Thailand,,Fin des opérations : 2005 / Date of end of operations : 2005
317.0,ANGOLA AIR CHARTER,C3,AGO,Angola,,
318.0,ANSETT AUSTRALIA,AN,AAA,Australie/Australia,,Tombé en faillite en septembre 2001/Bankrupt in September 2001
320.0,ANSETT NEW ZEALAND,ZQ,AAA,Nouvelle Zélande/New Zealand,,Intégrée dans Qantas New Zealand en septembre 2000/Integrated in Qantas New Zealand in September 2000
321.0,ANTONOV AIRLINES,,ADB,Ukraine,www.antonovairlines.co.uk,
322.0,ANTRAK AIR,O4,ABV,Ghana,www.antrakair.com,
323.0,APATAS AIR,,LYT,Lituanie/Lithuania,www.apatas.lt,
324.0,APOLLO AIRLINES,PJ,AOA,Grèce/Greece,,Fin des opérations : décembre 1996 / Date of end of operations : December 1996
325.0,APSA - AEROEXPRESSO BOGOTA,,ABO,Colombie/Colombia,,Fin des opérations : 2007 / Date of end of operations : 2007
326.0,ARAB WINGS,,AWS,Jordanie/Jordan,www.arabwings.com.jo,
328.0,ARCTIC CIRCLE AIR SERVICE,5F,CIR,USA,www.arcticcircleair.com,Fusionnée dans Era Alaska le 10 janvier 2010 / Merged into Era Alaska on 10 January 2010
329.0,ARCTIC SUNWEST CHARTERS,,ASC,Canada,www.arcticsunwest.com,
330.0,ARCUS-AIR LOGISTIC,ZE,AZE,Allemagne/Germany,www.arcus-air.com,
331.0,ARIA,,ARW,France,www.arialines.com,
332.0,ARIA AIR,,IRX,Emirats Arabes Unis/United Arab Emirates,,
333.0,ARIANA AFGHAN AIRLINES,FG,AFG,Afghanistan,www.flyariana.com,
337.0,ARNORO,,ARN,Bosnie-Herzégovine/Bosnia-Herzegovina,,
338.0,ARROW CARGO,JW,APW,USA,,Fin des opérations : 30 juin 2010 / Date operations ceased : 30 June 2010
339.0,ASERCA AIRLINES,R7,OCA,Venezuela,www.acercaairlines.com,
340.0,ASIAN EXPRESS AIRLINES,HJ,AXF,Australie/Australia,,Rebaptisée Tasman Cargo Airlines le 1 octobre 2008/Renamed Tasman Cargo Airlines on 1 October 2008
343.0,ASSOCIATED AVIATION,,SCD,Nigéria/Nigeria,,
344.0,ASTAIR,ZA,SUW,Russie/Russia,,Fin des opérations : 2005 / Date of end of operations : 2005
345.0,ASTAN AIR,A7,STR,Kazakhstan,,Fin des opérations : 1999 / Date of end of operations : 1999
347.0,ASTRAEUS,5W,AEU,Grande Bretagne/U.K.,,Fin des opérations : 21 novembre 2011 / Date of end of operations : 21 November 2011
348.0,ASTRAKHAN AIRLINES,OB,ASZ,Russie/Russia,,
350.0,ATA AIRLINES,TZ,AMT,USA,,Fin des opérations : 2 avril 2008 / Date of end of operations : 2 April 2008
351.0,ATA BRASIL (ATLANTICO TRANSPORTE AEREOS),,ABZ,Brésil/Brazil,,
352.0,ATLANT-SOYOUZ AIRLINES,3G,AYZ,Russie/Russia,www.atlant-soyouz.ru,Remodelée en Moskva Airlines le 17 septembre 2010 / Rebranded as Moskva Airlines on 17 September 2010
353.0,ATLANTIC AIRLINES,,NPT,Grande Bretagne/U.K.,www.atlanticairlines.co.uk,Opère sous le nom de West Atlantic/Now operates as West Atlantic
354.0,ATLANTIC AIRLINES,,AYN,Nicaragua,www.atlanticairlines.com.ni,
355.0,ATLANTIC AIRLINES DE HONDURAS,ZF,HHA,Honduras,www.atlanticairlinesint.com,
356.0,ATLANTIC AIRWAYS (Faroe Islands),RC,FLI,Iles Feroé/Faroe Islands,www.atlantic.fo,
357.0,ATLANTIC SOUTHEAST AIRLINES,EV,CAA,USA,www.flyasa.com,
358.0,ATLANTIS EUROPEAN AIRWAYS,TD,LUR,Arménie/Armenia,www.atlantis.am,
359.0,ATLAS AIR,5Y,GTI,USA,www.atlasair.com,
360.0,ATLAS BLUE,8A,BMM,Maroc/Morocco,www.atlas-blue.com,
362.0,ATYRAU AIRWAYS,IP,JOL,Kazakhstan,,
363.0,AUDELI AIR,,ADI,Espagne/Spain,www.audeli.es,
364.0,AUGSBURG AIRWAYS,IQ,AUB,Allemagne/Germany,www.augsburgair.de,
365.0,AURELA,,LSK,Lituanie/Lithuania,www.aurela.lt,
366.0,AURIGNY AIR SERVICES,GR,AUR,Grande Bretagne/U.K.,www.aurigny.com,
